example_id,pdb_id,assembly_id,deposition_date,resolution,num_polymer_pn_units,n_prot,cluster,is_inter_molecule,pn_unit_1_iid,pn_unit_2_iid,stable_key,stable_hash,transform_ok,transform_error,evaluation_status
"{['pdb', 'interfaces']}{9l4a}{2}{['D_1', 'F_1']}",9l4a,2,2024-12-20,1.9,3,1,ec4953fc3c1+e3344d749a5,True,D_1,F_1,9l4a|2|D_1|F_1,0980263d335b5afee2f72b1641fd353428420cdc7cceceea2afe7842728c12c4,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9hsh}{1}{['A_1', 'B_1']}",9hsh,1,2024-12-19,1.8,2,1,c6e0837fb0a+CTP,True,A_1,B_1,9hsh|1|A_1|B_1,0ac40af1afb06978c5b95a8b390e3f3c8981a4fc3947db6ab653e43194534988,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9l6x}{2}{['C_1', 'D_1']}",9l6x,2,2024-12-25,1.89,2,1,a35d9fcd8e2+d2b86090f52,True,C_1,D_1,9l6x|2|C_1|D_1,0c2d93fcb07b993edfcdde7405da40ece38fb44c83849117ce540e63602e11a6,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9hss}{1}{['A_1', 'A_2']}",9hss,1,2024-12-19,1.78,2,2,c6e0837fb0a+c6e0837fb0a,True,A_1,A_2,9hss|1|A_1|A_2,0cb60a03546ebc6449f9ca8e2b11c3e0500bf61ef3103c50d71c0d14bdb00749,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9hsj}{1}{['A_2', 'B_2']}",9hsj,1,2024-12-19,1.76,2,1,c6e0837fb0a+A1IWV,True,A_2,B_2,9hsj|1|A_2|B_2,0cca58316a549a530413707e203eca43bfd80167744a0456b9de7ab48645bb35,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9l3c}{1}{['A_1', 'M_1']}",9l3c,1,2024-12-18,2.23,2,1,44966d25721+ZN,True,A_1,M_1,9l3c|1|A_1|M_1,0d584c5cd67bdeed8b60de2e6030797924bbcc0dc5e0cc21afd3377b6f111823,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9mm2}{1}{['A_1', 'E_1']}",9mm2,1,2024-12-19,1.33,1,1,5659667ca40+NA,True,A_1,E_1,9mm2|1|A_1|E_1,0dd81c76e401b9347835e44b61f9babe914b146b5c1ccd1b7ee521b9281aa749,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9l6z}{1}{['B_1', 'D_1']}",9l6z,1,2024-12-25,1.8,2,1,a35d9fcd8e2+NA,True,B_1,D_1,9l6z|1|B_1|D_1,0eaae0f27ba88d653d1741ccd7b23cfadf0fc8f9f39f3f8e9b686445e41fa193,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9mlz}{1}{['B_1', 'K_1']}",9mlz,1,2024-12-19,2.19,4,1,219b8757b84+FE,True,B_1,K_1,9mlz|1|B_1|K_1,0ecde37ecfd9063c56b918eb516a45ce023a66682f43b88a4c01c492be152ef4,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9hsr}{1}{['A_1', 'C_1']}",9hsr,1,2024-12-19,2.42,2,1,c6e0837fb0a+XFV,True,A_1,C_1,9hsr|1|A_1|C_1,0f2eafadbaabf3b886198bd9ecdc14203f4cf27e00f967270611cb8d80eb317d,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9mlz}{1}{['D_1', 'I_1']}",9mlz,1,2024-12-19,2.19,4,1,219b8757b84+HCA,True,D_1,I_1,9mlz|1|D_1|I_1,0fdd84efbe895eea4d6882a671e55e5245eeb625d856cf4c3d4048f566c7a656,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9l8r}{1}{['A_2', 'B_2']}",9l8r,1,2024-12-28,2.19,2,1,1ea2a0d8983+FES,True,A_2,B_2,9l8r|1|A_2|B_2,0fdf1584a84148a5274f3d67281ebcec6db61cb274fb5c905ddd63c20a2fb86b,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9l3c}{1}{['A_1', 'R_1']}",9l3c,1,2024-12-18,2.23,2,1,44966d25721+CL,True,A_1,R_1,9l3c|1|A_1|R_1,101bb15d71810c1d2239f3df4db8499c043f6c820344933a504b092d30270d21,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9hsm}{1}{['A_2', 'B_2']}",9hsm,1,2024-12-19,2.05,2,1,c6e0837fb0a+BME,True,A_2,B_2,9hsm|1|A_2|B_2,11a27fe81366af8aa7225ba88d9e1ecee97a8c90698d29b1081746cbcda220ff,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9hs0}{1}{['A_3', 'B_3']}",9hs0,1,2024-12-18,1.3,3,1,b2b5a1004cf+CU,True,A_3,B_3,9hs0|1|A_3|B_3,12d9ef5a585f69326aae192fbb98f609d20a703a6c49c5e2ec26ec57a2f1b39e,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9l3p}{1}{['A_1', 'E_1']}",9l3p,1,2024-12-19,2.34,1,1,"79e20c5e2c0+BGC,XYS,GAL",True,A_1,E_1,9l3p|1|A_1|E_1,130afe0d35f0bb26b4f73de273ce41d37a2e9c0f0f810cf33362eeabfbbbfcba,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9hsz}{1}{['A_2', 'D_2']}",9hsz,1,2024-12-19,1.96,2,1,c6e0837fb0a+4AP,True,A_2,D_2,9hsz|1|A_2|D_2,1381e37ca32fc81e0bd26eda61753b4bfe00b8b03ffecb2458e40e817d5a6b5d,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9htx}{1}{['A_1', 'D_1']}",9htx,1,2024-12-20,2.0,4,2,4b1d82a91ae+4b1d82a91ae,True,A_1,D_1,9htx|1|A_1|D_1,14eefca5a36b663c3667f24ec489a9e4178fff454152a9108bb4cd4b3cff0032,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9hsu}{1}{['A_1', 'B_1']}",9hsu,1,2024-12-19,1.95,2,1,c6e0837fb0a+XHD,True,A_1,B_1,9hsu|1|A_1|B_1,1564cbde063a9b5b20a8397a4300b0c5914b57959e4d8902b2d6ad290a61b114,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9hss}{1}{['A_1', 'B_1']}",9hss,1,2024-12-19,1.78,2,1,c6e0837fb0a+9OX,True,A_1,B_1,9hss|1|A_1|B_1,18525b6eec4069afd2f2498837d6080ebe6fa738de5e3d5b12d4e9b283ce8dbc,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9mp8}{1}{['A_1', 'B_1']}",9mp8,1,2024-12-30,1.83,1,1,71855bdbc1b+NDG,True,A_1,B_1,9mp8|1|A_1|B_1,18a58d7fb281463425cca0f54f3276c688f25a7d1121342c906a391d62a6399f,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9hsh}{1}{['A_1', 'C_1']}",9hsh,1,2024-12-19,1.8,2,1,c6e0837fb0a+MN,True,A_1,C_1,9hsh|1|A_1|C_1,193a926446c1c9f17c1e586a5a93970711a91c7f5448224a7ce68c13f1a48710,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9ml8}{1}{['A_1', 'H_1']}",9ml8,1,2024-12-18,2.4,3,2,6cf7c775a8d+2a1ecf73689,True,A_1,H_1,9ml8|1|A_1|H_1,195d3950234efa370c366e98926642b8d2b0a478d09cd0e374592e602dfe832f,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9hsr}{1}{['A_1', 'A_2']}",9hsr,1,2024-12-19,2.42,2,2,c6e0837fb0a+c6e0837fb0a,True,A_1,A_2,9hsr|1|A_1|A_2,19e18135f4430c70351e41b2cf6172d71d01c8a705463bf4849bc63eb214b706,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9l8r}{1}{['A_1', 'B_1']}",9l8r,1,2024-12-28,2.19,2,1,1ea2a0d8983+FES,True,A_1,B_1,9l8r|1|A_1|B_1,1be6b4c4ec800b13bcb8847c36767c415d105f2e3f9e11c2b3f6afb78becc2c5,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9mmi}{1}{['A_1', 'B_1']}",9mmi,1,2024-12-20,1.75,2,2,e36ae843c7b+e36ae843c7b,True,A_1,B_1,9mmi|1|A_1|B_1,1cc3c88279cfc5a28d34e9f999cebd375d002b00ac3617c65efe32b54e0f6056,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9l8r}{1}{['A_1', 'A_2']}",9l8r,1,2024-12-28,2.19,2,2,1ea2a0d8983+1ea2a0d8983,True,A_1,A_2,9l8r|1|A_1|A_2,1cfbc35db0cb01ae493449bf6e24cdf3e9b51e507fc6274b58f84e575f118c4c,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9mm2}{1}{['A_1', 'G_1']}",9mm2,1,2024-12-19,1.33,1,1,5659667ca40+NA,True,A_1,G_1,9mm2|1|A_1|G_1,1df1146774988ddc48a60edc2a2bf1df3c7bbb0f85ef45fd3b409fdcad502c1d,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9l3c}{1}{['B_1', 'V_1']}",9l3c,1,2024-12-18,2.23,2,1,44966d25721+BUA,True,B_1,V_1,9l3c|1|B_1|V_1,1dfdbbd3be17266dd9979b5625c05ba7109e12e358084bd40db12ac02a3d7e13,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9mp4}{1}{['A_1', 'E_1']}",9mp4,1,2024-12-30,1.82,1,1,71855bdbc1b+CL,True,A_1,E_1,9mp4|1|A_1|E_1,1e1b67ed456d66eb93948c5d1772cf7a992e196f9ec9736f19480574b91d35dc,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9hsv}{1}{['A_2', 'C_2']}",9hsv,1,2024-12-19,1.68,2,1,c6e0837fb0a+IRU,True,A_2,C_2,9hsv|1|A_2|C_2,1e81267a48b67e8d683cf7a0be18a0916b01ba96a42c9932717555cf78550182,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9mly}{1}{['D_1', 'K_1']}",9mly,1,2024-12-19,2.33,4,1,219b8757b84+FE,True,D_1,K_1,9mly|1|D_1|K_1,1e876beddb51e39864c90ddc29d0971cab41b86371b3867e0df0fb455fd886ad,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9hu9}{1}{['A_1', 'B_1']}",9hu9,1,2024-12-21,2.4,4,2,4b1d82a91ae+4b1d82a91ae,True,A_1,B_1,9hu9|1|A_1|B_1,1f25756a712fdbfd510d30b118fb134ad4d9590b4343165836158cff875115d7,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9l3c}{1}{['A_1', 'W_1']}",9l3c,1,2024-12-18,2.23,2,1,44966d25721+11A,True,A_1,W_1,9l3c|1|A_1|W_1,1ff327055ce4392497eeed403d726e23f4c527ad94e9a22165fe81a993e04447,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9mly}{1}{['C_1', 'I_1']}",9mly,1,2024-12-19,2.33,4,1,2274cb1776e+HCA,True,C_1,I_1,9mly|1|C_1|I_1,203ffb443058ab3999a84947fa9d3f0a4c7dda4e784fe8281fa7fdf3fd6af9b0,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9mm0}{1}{['B_1', 'G_1']}",9mm0,1,2024-12-19,2.19,4,1,219b8757b84+FE,True,B_1,G_1,9mm0|1|B_1|G_1,21d260a7af61d74f9ced97eb266c347e0c084b3dc542dab66db1d5639caccc23,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9mly}{1}{['B_1', 'D_1']}",9mly,1,2024-12-19,2.33,4,2,219b8757b84+219b8757b84,True,B_1,D_1,9mly|1|B_1|D_1,21f1da91da86fa5bd4e7cddd12b804f7722db0299f0193e5b5dee714243661e2,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9hsx}{1}{['A_1', 'C_1']}",9hsx,1,2024-12-19,2.23,2,1,c6e0837fb0a+HVK,True,A_1,C_1,9hsx|1|A_1|C_1,22aea2f3508d48f36a5413beb23fd265c9d52731e7e8cfaa59851e8b8b2bedc5,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9mly}{1}{['B_1', 'H_1']}",9mly,1,2024-12-19,2.33,4,1,219b8757b84+CLF,True,B_1,H_1,9mly|1|B_1|H_1,22b2cbe7f59b8ea0f30b3fa20a6d0003f69d22703f77048aaa8ce29ad7ead9f9,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9hvh}{1}{['A_1', 'B_1']}",9hvh,1,2024-12-29,2.1,2,2,0bb253b17e7+0bb253b17e7,True,A_1,B_1,9hvh|1|A_1|B_1,23540818345883f474f7a2bdcb042848235a3b5f1387a61d33ad8310934fdc5f,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9l3c}{1}{['A_1', 'E_1']}",9l3c,1,2024-12-18,2.23,2,1,44966d25721+PPI,True,A_1,E_1,9l3c|1|A_1|E_1,23687edc0047b03555294949321968163f7dd2a25f93ee02796df6b5402fe734,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9l48}{1}{['A_1', 'B_1']}",9l48,1,2024-12-20,1.9,3,2,ec4953fc3c1+c38a7eb3716,True,A_1,B_1,9l48|1|A_1|B_1,245ea731b08ab13a63a188f8c8af52f6c7ea38f1f703b9d6e4d786b90b072c20,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9mp8}{1}{['A_1', 'C_1']}",9mp8,1,2024-12-30,1.83,1,1,71855bdbc1b+CL,True,A_1,C_1,9mp8|1|A_1|C_1,24974834b492d101b0fc98226d46a7198b6aa1059a89c2d4c3dbdf448665aba9,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9mm1}{1}{['C_1', 'D_1']}",9mm1,1,2024-12-19,2.08,4,2,2274cb1776e+219b8757b84,True,C_1,D_1,9mm1|1|C_1|D_1,2529fa0dfcdcb61aebcafc5ef9ce3b3871104c9e01d78d971b16c047be8458a1,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9hss}{1}{['A_1', 'D_1']}",9hss,1,2024-12-19,1.78,2,1,c6e0837fb0a+9OX,True,A_1,D_1,9hss|1|A_1|D_1,26e03c997791beb9526e5d510b582d00b286cd96f0206aa1d47a4ab748c336e0,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9l3o}{1}{['A_1', 'S_1']}",9l3o,1,2024-12-19,2.0,1,1,79e20c5e2c0+MG,True,A_1,S_1,9l3o|1|A_1|S_1,273e455e085526dfd5fb97aa571759b41680b14c6254279f700824b05c264fd2,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9mp6}{1}{['A_1', 'B_1']}",9mp6,1,2024-12-30,2.22,1,1,71855bdbc1b+NDG,True,A_1,B_1,9mp6|1|A_1|B_1,28180a11dfe7f2db865a416c460fbb3817a6e490038ebab8e67c536869eb510e,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9mm0}{1}{['D_1', 'I_1']}",9mm0,1,2024-12-19,2.19,4,1,219b8757b84+HCA,True,D_1,I_1,9mm0|1|D_1|I_1,28a786d05eaff66aad8f5e571c27fbeda2ea5cf310600d1e167f99e15d779678,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9l8r}{1}{['A_1', 'C_1']}",9l8r,1,2024-12-28,2.19,2,1,1ea2a0d8983+A1L7A,True,A_1,C_1,9l8r|1|A_1|C_1,29302def66a454af7c4e5f56ea7fb6884b8a56713675d2f470e6e7998218d0f0,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9l3c}{1}{['B_1', 'X_1']}",9l3c,1,2024-12-18,2.23,2,1,44966d25721+11A,True,B_1,X_1,9l3c|1|B_1|X_1,298a6d93948a8f70f469640b5331502d97cdcfe0f23f2bd70ba871e2b502dd13,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9l3c}{1}{['B_1', 'DA_1']}",9l3c,1,2024-12-18,2.23,2,1,44966d25721+CA,True,B_1,DA_1,9l3c|1|B_1|DA_1,2a408c34265273049ce1b2ff04ed9d28b809325b3e75c05ed82e6c1dcb4b6d41,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9hsw}{1}{['A_1', 'B_1']}",9hsw,1,2024-12-19,1.76,2,1,c6e0837fb0a+BME,True,A_1,B_1,9hsw|1|A_1|B_1,2acb1c02df56413bfd86ce7e79f38759e651a517b4907da57b7629ed01fb1a11,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9hrt}{1}{['B_1', 'C_1']}",9hrt,1,2024-12-18,2.3,2,1,4dd5614ae9a+A1IXH,True,B_1,C_1,9hrt|1|B_1|C_1,2af96f6eb81612c5f400561f64b4d5c29318c9b402d234045060a78760beace7,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9hsc}{1}{['A_1', 'A_2']}",9hsc,1,2024-12-19,2.18,2,2,c6e0837fb0a+c6e0837fb0a,True,A_1,A_2,9hsc|1|A_1|A_2,2b43ceb95e71070392607ad4cd7f03d58426241211fc7b549b04927331f68857,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9hsw}{1}{['A_2', 'B_2']}",9hsw,1,2024-12-19,1.76,2,1,c6e0837fb0a+BME,True,A_2,B_2,9hsw|1|A_2|B_2,2d1b8beec813cec419df54da6e579c7a2967675386669b8e81cfc71261e1ef94,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9hsg}{1}{['A_2', 'B_2']}",9hsg,1,2024-12-19,2.36,2,1,c6e0837fb0a+CDC,True,A_2,B_2,9hsg|1|A_2|B_2,2dba3b6e17be1e10a0bf0f7bd7b09e58c4aef375ec17a0f713d15662a8a9d38d,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9mp7}{1}{['A_1', 'D_1']}",9mp7,1,2024-12-30,2.15,1,1,71855bdbc1b+CL,True,A_1,D_1,9mp7|1|A_1|D_1,2e083b3a150024e006680aca2d507b721d2aae2ca3858347cc8871702b0fb43f,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9hs0}{1}{['A_2', 'C_2']}",9hs0,1,2024-12-18,1.3,3,1,b2b5a1004cf+CU,True,A_2,C_2,9hs0|1|A_2|C_2,2ef9f2ac3b63ab325ffe14b571340de7f116d7e7d0269da3b3f2b3af892abad9,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9hsh}{1}{['A_2', 'C_2']}",9hsh,1,2024-12-19,1.8,2,1,c6e0837fb0a+MN,True,A_2,C_2,9hsh|1|A_2|C_2,2f78e54cf09bcbde294f94a6e75aa2c36f42078943aebaa765d4451070109282,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9mm0}{1}{['D_1', 'G_1']}",9mm0,1,2024-12-19,2.19,4,1,219b8757b84+FE,True,D_1,G_1,9mm0|1|D_1|G_1,2fbe427e5afa796f3ed34e25422208ef5d3ba1afabf7ce863f66cc6c2f196470,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9l3c}{1}{['A_1', 'H_1']}",9l3c,1,2024-12-18,2.23,2,1,44966d25721+A1L60,True,A_1,H_1,9l3c|1|A_1|H_1,303c536dd1adf303f9f4ceb226a9ccb9bff05e356e44d1396da7de4d16a0ad2b,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9hsp}{1}{['A_1', 'A_2']}",9hsp,1,2024-12-19,2.09,2,2,c6e0837fb0a+c6e0837fb0a,True,A_1,A_2,9hsp|1|A_1|A_2,30641d1cd1769edb72f9f8ba6a8785fe631055c7a786c48f51138ff436380484,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9mp9}{1}{['A_1', 'G_1']}",9mp9,1,2024-12-30,1.9,1,1,71855bdbc1b+NA,True,A_1,G_1,9mp9|1|A_1|G_1,309cdd0a79abc85e481dcfbb1881487076a44e1f2a066c2cb0058bddc6bc7a13,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9mmi}{2}{['D_1', 'V_1']}",9mmi,2,2024-12-20,1.75,2,1,e36ae843c7b+MG,True,D_1,V_1,9mmi|2|D_1|V_1,30a74394e57973247ca75c8d4bf4c987cc29a0e7ce8c6ab4dc961b7b8a600bb2,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9mp3}{1}{['A_1', 'D_1']}",9mp3,1,2024-12-30,1.3,1,1,71855bdbc1b+CL,True,A_1,D_1,9mp3|1|A_1|D_1,30afc304d84108b00430e2e2c92acf85eafb060ff7e4263ac1b61f8723c0a7aa,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9hsc}{1}{['A_2', 'B_2']}",9hsc,1,2024-12-19,2.18,2,1,c6e0837fb0a+AEF,True,A_2,B_2,9hsc|1|A_2|B_2,30bc93d5af648bbfa7d09bb7ccdb0ae743f9f1bb88ae529e0279a88dfa24485d,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9l4a}{1}{['A_1', 'B_1']}",9l4a,1,2024-12-20,1.9,3,2,ec4953fc3c1+c38a7eb3716,True,A_1,B_1,9l4a|1|A_1|B_1,30e47118581b14ac6a645eb157d642928245fdddbdec7053c25df6754dca8996,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9hsh}{1}{['A_1', 'A_2']}",9hsh,1,2024-12-19,1.8,2,2,c6e0837fb0a+c6e0837fb0a,True,A_1,A_2,9hsh|1|A_1|A_2,321de8d43318e0d2d4356203aee764d0313e9adcda49292203ecb3c59c8ab0ca,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9mly}{1}{['A_1', 'F_1']}",9mly,1,2024-12-19,2.33,4,1,2274cb1776e+ICS,True,A_1,F_1,9mly|1|A_1|F_1,324420b91b113bf4519e5f737dfaed58a53e7bb38ec547f647e7f72b3ebd2fca,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9l2n}{1}{['A_1', 'I_1']}",9l2n,1,2024-12-17,1.7,2,1,8afa22d4e3a+CA,True,A_1,I_1,9l2n|1|A_1|I_1,332ca7a6ba765039a24820f0cdbf273d22d9501cd854baec4c28e09f4604f5d6,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9hsx}{1}{['A_1', 'B_1']}",9hsx,1,2024-12-19,2.23,2,1,c6e0837fb0a+HVK,True,A_1,B_1,9hsx|1|A_1|B_1,3331cbabb78a0287e949ed0b79d92edcb37d3a52d6dd9cd908acaf0e730c3f11,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9hsb}{1}{['A_1', 'C_1']}",9hsb,1,2024-12-19,1.81,2,1,c6e0837fb0a+A1IWR,True,A_1,C_1,9hsb|1|A_1|C_1,33d3a6868ea16192fc10d32c34257c279815e315894024d0a044cc1dc2a86674,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9l3c}{1}{['A_1', 'P_1']}",9l3c,1,2024-12-18,2.23,2,1,44966d25721+CL,True,A_1,P_1,9l3c|1|A_1|P_1,3439e048ffd790e7cbd7e578e5fca6a18393a9f1bd626a713d3f2871aa2577ad,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9hss}{1}{['A_1', 'C_1']}",9hss,1,2024-12-19,1.78,2,1,c6e0837fb0a+9OX,True,A_1,C_1,9hss|1|A_1|C_1,34fc23f26c0592762230bd194f53344cfecbbfff5e584fb9c10b5912c5fa68b3,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9mly}{1}{['B_1', 'E_1']}",9mly,1,2024-12-19,2.33,4,1,219b8757b84+HCA,True,B_1,E_1,9mly|1|B_1|E_1,3524625fb4cbe811e02bf0cc5f5e6b25fd1059780880796b24f47ee3fba1e81d,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9hsf}{1}{['A_1', 'A_2']}",9hsf,1,2024-12-19,2.1,2,2,c6e0837fb0a+c6e0837fb0a,True,A_1,A_2,9hsf|1|A_1|A_2,359302c703606d845397a77aaf972d2eb44e0af9818c557068a8619c3c49d5f7,,,requires_transform_preflight
"{['pdb', 'interfaces']}{9mm0}{1}{['C_1', 'G_1']}",9mm0,1,2024-12-19,2.19,4,1,2274cb1776e+FE,True,C_1,G_1,9mm0|1|C_1|G_1,366dcd6e8c30fc69115626f9fb654ca1461e571b8772ba88068df66aa0aa1f49,,,requires_transform_preflight
